DetectorAimsunID,DetectorFieldID,Time(sec),flow(vph),occupancy(%)
4656,608214,300,0,0.0000
4659,608217,300,24,0.2704
4660,608223,300,12,4.9146
4662,608203,300,60,0.6084
4663,608224,300,12,0.3979
4664,608212,300,84,16.1181
4665,608204,300,84,0.6585
4666,608213,300,180,37.9902
4669,608201,300,288,3.4386
7633532,608230,300,84,13.8624
7674949,608222,300,0,0.0000
7674950,608221,300,0,0.2966
7674955,608202,300,60,1.0626
7674956,608206,300,0,0.0000
7674957,608209,300,288,43.7577
7678624,608205,300,192,2.2012
7678625,608219,300,36,0.4187
7678626,608207,300,36,0.3689
7678627,608208,300,12,0.2601
4656,608214,600,0,0.0000
4659,608217,600,36,0.4092
4660,608223,600,0,3.6658
4662,608203,600,84,0.8475
4663,608224,600,48,13.8563
4664,608212,600,84,16.4769
4665,608204,600,72,0.7214
4666,608213,600,108,41.4070
4669,608201,600,180,2.1046
7633532,608230,600,144,39.2865
7674949,608222,600,0,0.0000
7674950,608221,600,0,0.0493
7674955,608202,600,96,60.6706
7674956,608206,600,0,0.0000
7674957,608209,600,204,33.6422
7678624,608205,600,120,1.3505
7678625,608219,600,60,0.6655
7678626,608207,600,60,0.6364
7678627,608208,600,48,0.4562
4656,608214,900,0,0.0000
4659,608217,900,24,0.2816
4660,608223,900,0,0.0000
4662,608203,900,96,0.9421
4663,608224,900,24,16.5951
4664,608212,900,72,26.6527
4665,608204,900,48,0.4853
4666,608213,900,72,23.1738
4669,608201,900,216,2.4374
7633532,608230,900,144,23.9857
7674949,608222,900,0,0.0000
7674950,608221,900,0,0.0875
7674955,608202,900,48,28.0991
7674956,608206,900,0,0.0000
7674957,608209,900,240,49.5742
7678624,608205,900,108,1.2102
7678625,608219,900,24,0.2545
7678626,608207,900,48,0.4884
7678627,608208,900,48,0.4572
4656,608214,1200,0,0.0000
4659,608217,1200,132,1.7001
4660,608223,1200,12,10.8147
4662,608203,1200,120,1.1876
4663,608224,1200,24,8.1923
4664,608212,1200,132,20.8578
4665,608204,1200,48,0.4826
4666,608213,1200,132,23.3423
4669,608201,1200,264,3.3778
7633532,608230,1200,168,28.1464
7674949,608222,1200,0,0.0000
7674950,608221,1200,12,0.6912
7674955,608202,1200,204,18.4708
7674956,608206,1200,0,0.0000
7674957,608209,1200,300,46.1106
7678624,608205,1200,192,2.0075
7678625,608219,1200,84,1.0607
7678626,608207,1200,60,0.6339
7678627,608208,1200,108,1.0528
4656,608214,1500,0,0.0000
4659,608217,1500,72,0.8426
4660,608223,1500,36,6.1276
4662,608203,1500,156,1.5613
4663,608224,1500,0,0.0000
4664,608212,1500,108,36.4177
4665,608204,1500,48,0.4835
4666,608213,1500,84,24.0451
4669,608201,1500,240,2.9661
7633532,608230,1500,156,25.9062
7674949,608222,1500,0,0.0000
7674950,608221,1500,0,0.1436
7674955,608202,1500,132,16.9400
7674956,608206,1500,0,0.0000
7674957,608209,1500,384,49.0483
7678624,608205,1500,204,2.1926
7678625,608219,1500,60,0.6376
7678626,608207,1500,36,0.3996
7678627,608208,1500,60,0.5700
4656,608214,1800,0,0.0000
4659,608217,1800,48,0.5768
4660,608223,1800,36,18.4225
4662,608203,1800,120,1.2124
4663,608224,1800,12,1.9584
4664,608212,1800,108,33.3913
4665,608204,1800,72,0.7119
4666,608213,1800,144,38.6591
4669,608201,1800,324,3.6995
7633532,608230,1800,144,37.9763
7674949,608222,1800,0,0.0000
7674950,608221,1800,24,0.6603
7674955,608202,1800,60,27.3666
7674956,608206,1800,0,0.0000
7674957,608209,1800,384,53.5127
7678624,608205,1800,204,2.4516
7678625,608219,1800,12,0.1216
7678626,608207,1800,60,0.6449
7678627,608208,1800,48,0.4744
4656,608214,2100,0,0.0000
4659,608217,2100,84,1.0349
4660,608223,2100,36,11.3059
4662,608203,2100,204,2.0438
4663,608224,2100,12,11.7527
4664,608212,2100,72,11.4329
4665,608204,2100,36,0.3370
4666,608213,2100,156,52.6076
4669,608201,2100,408,4.9842
7633532,608230,2100,288,49.1233
7674949,608222,2100,0,0.0000
7674950,608221,2100,0,0.3838
7674955,608202,2100,132,46.9170
7674956,608206,2100,0,0.0000
7674957,608209,2100,492,46.1214
7678624,608205,2100,252,2.9532
7678625,608219,2100,84,0.9826
7678626,608207,2100,132,1.3925
7678627,608208,2100,60,0.6134
4656,608214,2400,0,0.0000
4659,608217,2400,60,0.7637
4660,608223,2400,12,0.2512
4662,608203,2400,204,2.3700
4663,608224,2400,36,14.0830
4664,608212,2400,96,25.6867
4665,608204,2400,72,0.7156
4666,608213,2400,240,46.4326
4669,608201,2400,432,5.0522
7633532,608230,2400,384,57.2194
7674949,608222,2400,0,0.0000
7674950,608221,2400,24,0.9079
7674955,608202,2400,180,60.4983
7674956,608206,2400,12,0.7564
7674957,608209,2400,468,49.4258
7678624,608205,2400,288,3.2701
7678625,608219,2400,96,1.1376
7678626,608207,2400,180,2.3065
7678627,608208,2400,48,0.5067
4656,608214,2700,0,0.0000
4659,608217,2700,96,0.9800
4660,608223,2700,36,26.0116
4662,608203,2700,192,1.9790
4663,608224,2700,36,22.8951
4664,608212,2700,204,41.8866
4665,608204,2700,132,1.3949
4666,608213,2700,192,46.8672
4669,608201,2700,420,5.1498
7633532,608230,2700,264,59.2957
7674949,608222,2700,0,0.0000
7674950,608221,2700,0,0.3606
7674955,608202,2700,156,44.4343
7674956,608206,2700,0,9.1717
7674957,608209,2700,576,43.1756
7678624,608205,2700,312,3.9168
7678625,608219,2700,60,0.8698
7678626,608207,2700,108,1.2258
7678627,608208,2700,108,0.9482
4656,608214,3000,0,0.0000
4659,608217,3000,132,1.6016
4660,608223,3000,72,26.2417
4662,608203,3000,276,2.9150
4663,608224,3000,60,32.2034
4664,608212,3000,168,24.0440
4665,608204,3000,156,1.5779
4666,608213,3000,264,57.1789
4669,608201,3000,588,7.1229
7633532,608230,3000,372,53.1060
7674949,608222,3000,0,0.0000
7674950,608221,3000,24,1.1434
7674955,608202,3000,228,36.8173
7674956,608206,3000,0,0.0000
7674957,608209,3000,720,61.2067
7678624,608205,3000,396,4.6821
7678625,608219,3000,96,1.2178
7678626,608207,3000,180,2.2097
7678627,608208,3000,84,0.7891
4656,608214,3300,0,0.0000
4659,608217,3300,168,1.9719
4660,608223,3300,12,8.0591
4662,608203,3300,228,2.2097
